INPUT:image	OUTPUT:result	CONFIDENCE:result	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/from-thuringewald-1905.jpg	neutral	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/three-girls-on-the-jetty-1903.jpg	neutral	99.99%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/history-1916.jpg	awe	99.99%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/spring-day-on-karl-johan-street-1890.jpg	happiness	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/aunt-karen-in-the-rocking-chair-1883.jpg	sadness	99.99%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/despair-1892.jpg	fear	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-artist-and-his-model-1921.jpg	fear	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/towards-the-forest-ii-1915.jpg	sadness	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/rain-1902.jpg	neutral	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-sick-child-ii-1896.jpg	sadness	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-murderer-1910.jpg	anger	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/workers-in-the-snow-1913.jpg	neutral	99.99%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/couple-on-the-shore-from-the-reinhardt-frieze-1907.jpg	happiness	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/street-lafayette-1891.jpg	neutral	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-scream-1896-1-jpg-large.jpg	fear	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/summer-night-inger-on-the-shore-1889.jpg	sadness	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/fertility-ii-1902.jpg	awe	55.90%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/galloping-horse-1912.jpg	anger	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/by-the-deathbed-fever-i-1915.jpg	sadness	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-girls-on-the-bridge-1901.jpg	awe	99.99%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-death-chamber-1896.jpg	sadness	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/evening-on-karl-johan-street-1892.jpg	fear	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/self-portrait-in-distress-1919.jpg	anger	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/self-portrait-during-eye-disease-ii-1930.jpg	happiness	99.99%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/self-portrait-during-the-eye-disease-i-1930.jpg	fear	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/vampire-ii-1902.jpg	sadness	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/girl-combing-her-hair-1892.jpg	neutral	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-village-street-1906.jpg	sadness	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/old-man-in-warnemunde-1907.jpg	neutral	99.99%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/women-on-the-bridge-1902.jpg	happiness	49.42%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-scream-1895.jpg	fear	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/red-and-white-1900.jpg	happiness	99.99%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/jealousy-from-the-series-the-green-room-1907.jpg	neutral	99.99%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/moonlight-1893.jpg	sadness	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/man-and-woman-ii-1915.jpg	sadness	99.99%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/girl-kindling-a-stove-1883.jpg	neutral	99.99%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-voice-1893.jpg	awe	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/by-the-roulette-1892.jpg	awe	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-lumberjack-1913.jpg	neutral	99.99%	
